107118,112160,86719,149947,82064,32683,164610,252459,13797,183706,84647,72344,83581,154410,106437,88714,31923,84643,116698,210370,51322,11894,194938,108142,142440,108107,97412,108394,36718,39745,96561,130709,80695,87606,189991,118128,111792,141914,161809,170509,60575,263591,125336,33420,16895,230033,48894,110794,110794,110794,30534,162748,162748,82311,165190,215669,106493,132824,134229,182368,41822,172227,186442,156481,211557,149817,247728,113112,119097,113262,89393,105686,77364,66746,33396,19077,16420,56722,170853,143046,65304,142171,72597,81454,134307,138247,154728,153075,153075,153075,110563,155866,96765,130626,149856,154411,16511,171300,138529,187499,144784,123738,185837,168423,173128,119869,119651,119651,143728,128831,96635,99875,135586,135214,214193,115565,181193,129519,75179,121425,187956,133052,133110,144764,154731,137019,163830,87317,104117,156022,50764,26702,141436,262871,16149,155075,127740,91584,212216,70602,189552,116415,123005,29217,52149,62361,53057,142782,7307,7307,254820,246762,168556,154423,141693,126329,146512,30386,98746,70294,141192,165483,60225,52557,52557,95535,120537,19833,142308,110311,81204,70032,70032,70032,226443,128745,179409,179409,114673,120139,116029,79809,129896,85103,152385,81839,280548,189381,196258,134080,61695,64522,61849,21753,107017,107017,107017,75801,44347,53796,53796,28404,122311,63932,122311,115442,165182,133725,81832,120248,196507,146421,115442,131299,99875,107990,154700,170081,106401,86903,158511,114733,63451,186224,113448,103481,81653,108402,82503,79930,62666,62728,181589,56740,145992,175776,184819,152630,103277,28045,101500,129678,71633,60869,128814,72811,72797,255288,257732,255964,256888,131441,123907,168525,168525,168525,168525,168525,46691,169495,219612,235487,248510,187136,170582,169622,196187,212606,209168,195072,169896,165340,154110,203676,61227,119312,152078,109688,216197,146066,154464,258386,233678,68889,86262,137545,33740,49155,50505,50629,50299,178117,257075,81277,214023,119257,234372,220325,245958,36662,167323,198374,101206,66593,150330,188349,42446,53029,144963,166857,134257,213302,208668,166157,125252,140380,110765,165307,112030,113249,117389,175313,109110,29080,122620,130023,117389,116313,116197,116391,129903,118124,69953,70918,157850,44343,164685,55387
122377,111140,85699,148926,92307,15953,174854,262703,14168,193950,94890,82588,82560,153389,121477,87693,36149,68385,126941,216796,35064,12265,205181,118385,152684,118351,107656,118637,19988,23015,110776,137547,90939,74082,196417,117107,122035,140893,160788,180753,59554,273835,135580,16690,11015,240277,32636,109773,109773,109773,32000,169175,169175,81290,171616,225913,83930,131803,133208,192612,52066,182471,196686,155460,221801,155410,257971,96854,102839,97004,73135,89428,61106,65725,16666,14243,7376,55701,181097,142025,56036,153194,80107,80433,138620,137226,153707,163319,163319,163319,109542,154845,107008,129605,148835,164654,5332,177726,148773,197743,151210,122717,196080,178667,183372,130112,118630,118630,153972,127810,95614,110118,145829,145458,224437,114544,187619,139763,55727,131669,194382,143296,143354,155008,164975,135998,162810,71059,114361,166266,34506,36946,147863,273115,9231,165319,126719,90563,222460,80846,199796,126658,133249,12959,51128,54445,36799,153026,10539,10539,265063,257006,178800,153402,151936,136573,156756,38470,108990,54036,151436,175727,59204,43791,43791,94514,119516,27917,143781,109290,80183,53774,53774,53774,236687,127724,189653,189653,113652,130383,126273,78789,128876,84082,151364,92083,290792,199625,206502,140514,45436,55254,53932,18285,117261,117261,117261,93599,28088,37538,37538,38648,132554,62911,132554,125686,175425,143969,92076,130492,206751,156665,125686,141543,110119,118234,153679,180325,105380,85882,164937,124977,47192,196468,123692,102460,80633,107381,66245,63671,61645,61707,191833,55719,144971,186020,195063,162873,121738,38289,120660,128657,66765,59848,139058,71790,71776,265532,267976,266208,267132,130420,122886,178769,178769,178769,178769,178769,30432,179739,226038,245731,258754,197380,180826,179866,206431,222850,219412,225856,180140,175584,164354,213920,60206,129556,158504,119931,226441,156310,160890,268629,243921,52631,85242,147789,17481,32897,34246,34371,34041,184544,267319,91521,220449,118236,244615,230569,256201,19932,173749,208617,100185,50335,149309,198593,41426,52008,143943,173284,133236,219728,218911,172584,124231,150623,109744,164286,122274,123493,127633,181739,119354,39324,132864,140267,127633,126557,126441,126635,140147,128368,80197,81162,168094,33015,174929,34225
142520,132933,107492,170719,137674,71070,213472,301321,68866,232568,140257,127954,102703,175182,141620,109487,76931,25214,171653,236939,38161,66963,243800,159705,191302,159670,155410,159957,59403,52802,130919,157689,136305,66474,216560,138900,178793,162686,182581,219371,73605,312453,177602,71807,65713,278895,35733,131566,131566,131566,65872,189317,189317,101433,191759,264531,76322,151945,153351,231230,87887,221089,235304,175603,260419,175552,296590,65730,71715,65880,24511,58304,32294,72484,71783,68941,71161,76881,219715,163818,58814,173337,100250,100575,158762,159020,173850,201937,201937,201937,129685,176638,134656,151398,170628,203273,60449,197869,190545,236361,171353,144510,234699,217285,221990,168731,138773,138773,198263,149603,115757,137369,192902,192531,263055,136338,207762,181535,45232,179011,214525,181914,181972,202176,203593,157791,184603,16060,160818,204885,37603,91644,168006,311733,73015,203937,148513,112356,261079,126212,238414,172835,175271,56026,72921,56310,38321,200099,71921,71921,303682,295624,217418,173545,190555,183808,195374,79737,150078,22912,190054,214345,80997,63253,63253,114656,141309,82616,163924,131083,101976,26925,26925,26925,245461,149517,228271,228271,135445,169001,164891,98931,150669,104225,173157,137449,329410,238243,245120,160657,28849,58032,55797,71543,160323,160323,160323,113742,42492,23773,23773,93347,180186,84705,180186,171223,214044,166389,137442,177834,245369,195283,171223,183315,137370,156852,173822,218943,125523,106025,185080,156242,49218,235086,168403,124253,89386,127523,23074,3247,83932,83994,230451,75862,166764,224638,233681,201492,141881,88177,140803,148799,62646,81641,159551,91933,93569,304150,306594,304826,305750,150562,144679,217387,217387,217387,217387,217387,35945,218357,246181,284349,297372,235998,219444,218484,245049,261468,258030,245999,218758,214202,202972,252538,81999,168174,178647,171906,265059,194928,181033,307248,282540,48083,105384,194957,49224,34419,32134,32010,31882,204687,305937,118640,240592,140029,283234,269187,294820,58658,193892,247236,120328,52361,169452,237211,72399,73801,164085,193426,153379,239871,257530,192726,146024,189242,131537,186080,166113,162111,172344,201882,163739,89167,171482,192135,172344,174942,174826,175019,192015,185748,125563,126528,206712,57138,213547,51779
153047,124418,98977,162205,148201,81597,223999,311848,79393,243095,150784,138481,113230,166668,152147,100972,87458,13201,182180,247466,48688,77490,254326,170232,201829,170197,165937,170484,69930,63329,141446,168216,146832,65082,227087,141911,189320,165696,174067,229898,74763,322980,188129,82334,76240,289422,46260,134576,134576,134576,76399,199844,199844,111960,202286,275058,74931,162472,163878,241757,98414,231616,245831,186130,270946,186079,307117,39667,45652,39817,8208,32241,30903,71093,82310,79468,81688,87408,230242,155304,57423,183864,110777,111102,169289,150505,184377,212464,212464,212464,140212,168124,145183,146630,162114,213800,70976,208396,201072,246888,181880,147520,245226,227812,232517,179258,149300,149300,208790,141089,126284,147896,203429,203058,273582,139348,218289,192062,43841,189538,225052,192441,192499,212703,214120,160802,176088,3228,171345,215411,48130,102171,178533,322260,83542,214464,139998,115367,271605,136739,248941,183362,185798,66553,83448,54918,48848,210626,82448,82448,314209,306151,227945,184072,201082,194335,205901,90264,160605,18864,200581,224872,91524,73780,73780,125183,132795,93143,174451,134093,104987,28188,28188,28188,255988,152528,238798,238798,138455,179528,175418,109458,153679,114752,164643,147976,339937,248770,255647,171184,34666,56641,54406,82070,170850,170850,170850,124269,53019,34300,34300,103873,190713,95232,190713,181750,224571,176916,147969,188360,255896,205810,181750,193842,147897,167379,184349,229470,136050,116552,195607,166769,52276,245613,178930,127264,87994,138050,9262,15834,94459,94521,240978,86389,169775,235165,244208,212019,152408,98704,151330,159326,61255,78199,170078,102460,99298,314677,317121,315353,316277,161089,147689,227914,227914,227914,227914,227914,46472,228884,256708,294876,307899,246525,229971,229011,255576,271995,268557,256526,229285,224729,213499,263065,78557,178701,189174,182433,275586,205455,191560,317774,293067,46691,115911,205484,59751,44946,42661,42537,42409,215214,316464,129167,251119,131515,293760,279714,305347,69185,204419,257763,130855,60550,179979,247738,82926,84328,174612,203953,163906,250398,268057,203253,137510,199768,134547,177565,176640,172638,182871,212409,174266,99694,182009,202662,182871,185469,185353,185546,202542,196275,136090,137055,217239,67665,224074,62306
165151,135811,110370,173597,160305,93701,236103,323952,91498,255199,162888,150585,125334,178060,164252,112365,99562,33771,194284,259570,56068,89595,266431,182337,213934,182302,178041,182589,82034,75434,153550,180321,158937,76475,239192,153303,201425,177089,185459,242003,86156,335084,200234,94439,88344,301526,53639,145969,145969,145969,88503,211949,211949,124064,214391,287163,86323,174577,175982,253861,110519,243720,257936,184659,283050,198184,319221,25477,31462,25627,15803,18051,42295,82485,94415,91573,93792,99512,242346,166696,68815,182392,122882,123207,181394,161898,182906,224568,224568,224568,152316,179516,157287,158023,173506,225904,83080,220500,213176,258992,193984,158913,257330,239917,244621,191362,148781,148781,220894,152481,138388,160001,215534,215162,285687,150740,230394,204166,55233,201642,237157,204545,204603,224808,226225,172194,187481,22418,183449,227516,55510,114275,190637,334365,95647,226569,151391,126759,283710,148844,261046,195467,197902,78657,95552,66311,56227,222731,94553,94553,326313,318255,240049,182601,213186,206439,218005,102369,172710,33610,212685,236977,103628,85885,85885,137288,144187,105247,186555,145486,116379,39581,39581,39581,268092,163920,250903,250903,149847,191633,187522,121563,165071,126856,176036,160081,352042,260875,267751,183288,46058,68033,65798,94175,182955,182955,182955,136373,65124,44519,44519,115978,202817,107336,202817,193855,236675,189021,160074,200465,268001,217915,193855,205946,160001,179484,182878,241574,148154,128656,207711,178874,63669,257718,191034,138656,99387,150155,25079,35025,106563,106626,253083,98493,181167,247270,256313,224123,164513,110809,163434,171431,72647,89592,182183,114565,110691,326781,329226,327458,328381,173194,159081,240018,240018,240018,240018,240018,58577,240989,268812,306981,320004,258629,242075,241116,267680,284100,280662,268631,241390,236833,225603,275169,89950,190805,201278,194538,287691,217559,203665,329879,305171,58084,128016,217588,71856,52325,50040,49916,49788,227318,328568,141272,263223,142908,305865,291818,317451,81290,216523,269867,142959,71942,178508,259843,95030,96432,186717,216058,176010,262503,280161,215358,148902,211873,145940,188958,188744,184743,194976,224513,186370,111798,194113,214767,194976,197573,197457,197651,214646,208380,148195,149160,229344,79770,236178,74410
105698,94461,69020,132247,75065,24020,176650,264499,20452,195746,77648,65345,65881,136710,104799,71015,14223,89008,109699,200117,55687,18549,206978,101143,154481,101108,90413,101395,16759,23351,94097,120868,73697,69906,179738,100428,104793,124214,144109,182550,42875,275631,118338,20023,20620,242073,53259,93094,93094,93094,12835,152496,152496,64611,154937,227710,88793,115124,116529,194408,31798,184267,198482,138782,223597,138731,259768,117477,123462,117627,93758,110051,70549,49046,19771,20328,29874,39023,182893,125346,47604,136515,63429,63754,121941,120548,137028,165115,165115,165115,92863,138166,97834,112926,132156,166451,26426,161047,131531,199539,134531,106038,197877,180464,185168,131909,101951,101951,161441,111131,78935,100548,128587,128215,226233,97866,170940,122521,57480,114427,177704,145092,145150,137766,166772,119319,146131,91682,97119,168063,55129,17270,131184,274911,28707,167116,110041,73884,224257,63603,201592,109416,116006,33582,34449,44662,57422,135784,19864,19864,266860,258802,180596,136723,153733,119330,158552,12686,91748,74659,153232,177524,42525,34857,34857,77835,102837,1744,127102,92611,63504,74397,74397,74397,208639,111045,191450,191450,96973,132180,128069,62110,112197,67403,134685,74841,292589,201422,208298,123835,66060,46822,44149,18385,100019,100019,100019,76920,48712,58161,58161,18488,115312,46233,115312,108443,177222,129568,74834,113250,208548,158462,108443,124301,100548,120031,137000,182121,88701,69203,148258,119421,63533,198265,106449,85781,63954,90702,86868,84295,44966,45028,193630,39040,128292,187817,196860,164670,105059,17606,103981,111978,53933,43169,122729,55112,55097,267328,269773,268004,268928,113741,106207,180565,180565,180565,180565,180565,51056,181536,209359,247527,260551,199176,182622,181662,208227,224647,221209,209177,181937,177380,166150,215716,43527,131352,141825,102689,228238,158106,144212,270426,245718,54072,68563,130546,38105,53520,54870,54994,54664,167865,269115,81819,203770,101557,246412,232365,257998,18648,157070,210414,83506,42741,132630,200390,24747,35329,127264,156605,116557,203049,220708,155905,107552,152420,93065,147608,105032,125289,110391,165060,102112,18218,134660,123025,110391,109315,109199,109392,122904,111126,62955,63920,169891,26644,176725,37687
106768,95530,70089,133317,101922,10902,177720,265569,21696,196816,104505,92202,66951,137780,105868,72084,20540,66411,135901,201187,48847,24511,208048,123953,155551,123918,119658,124205,4379,7406,95167,121937,100553,64080,180808,101498,143042,125284,145179,183619,43945,276701,141850,5326,18872,243143,46419,94164,94164,94164,16391,153565,153565,65681,156007,228779,73928,116194,117599,195478,35804,185337,199552,139851,224667,139800,260838,94880,100864,95030,71160,87454,64723,50116,5074,12159,26825,40092,183963,126416,41778,137585,64498,64824,123011,121617,138098,166185,166185,166185,93933,139236,98904,113996,133226,167521,17613,162117,154793,200609,135601,107108,198947,181533,186238,132979,103021,103021,162511,112201,80005,101617,157151,156779,227303,98935,172010,145783,51654,143259,178773,146162,146220,166424,167842,120389,147200,69085,125066,169133,48289,49192,132254,275981,28680,168185,111110,74954,225327,90460,202662,137083,139519,26742,35519,38836,50582,164347,29469,29469,267930,259872,181666,137793,154803,148056,159622,23346,114326,52061,154302,178593,43595,28182,28182,78905,103907,33195,128172,93681,64574,51800,51800,51800,209709,112115,192519,192519,98043,133250,129139,63179,113266,68473,135755,101697,293659,202491,209368,124905,43462,40996,38323,9990,124571,124571,124571,77990,21552,35564,35564,36261,144434,47302,144434,135471,178292,130637,101690,142082,209617,159532,135471,147563,101618,121100,138070,183191,89771,70273,149328,120490,32903,199334,132651,86851,65023,91772,64271,61697,46036,46098,194700,40110,129362,188886,197929,165740,106129,31786,105051,113048,50547,44239,123799,56181,56167,268398,270842,269074,269998,114811,107277,181635,181635,181635,181635,181635,27094,182606,210429,248597,261620,200246,183692,182732,209297,225716,222279,210247,183006,178450,167220,216786,44597,132422,142895,136154,229307,159176,145281,271496,246788,48246,69632,159205,31265,46680,48030,48154,47824,168935,270185,82889,204840,102627,247482,233435,259068,4323,158140,211484,84576,30165,133700,201459,25816,36399,128333,157674,117627,204119,221778,156975,108622,153490,94135,148677,130361,126359,136593,166130,127987,32775,135730,156383,136593,139190,139074,139267,156263,149996,89811,90776,170960,17406,177795,18615
113390,103803,78362,141589,108544,34339,184342,272191,32136,203438,111127,98824,73573,146052,112490,80357,47801,50437,142523,207809,12327,30233,214670,130575,162172,130540,126280,130827,38375,17459,101789,128559,107175,46468,187430,109770,149664,133556,153451,190241,44475,283323,148472,35077,28982,249765,9898,102436,102436,102436,36742,160187,160187,72303,162629,235401,56317,122816,124221,202100,58757,191959,206174,146473,231289,146422,267460,78906,84890,79056,55186,71480,43158,44548,35053,32211,34430,47751,190585,134688,28423,144207,71120,71445,129633,129890,144720,172807,172807,172807,100555,147508,105526,122268,141498,174143,23718,168739,161415,207231,142223,115380,205569,188155,192860,139601,109643,109643,169133,120473,86627,108239,163772,163401,233925,107208,178632,152405,31203,149881,185395,152784,152842,173046,174463,128661,155473,53111,131688,175755,11769,54913,138876,282603,36285,174807,119383,83226,231949,97082,209284,143705,146141,19295,43791,27407,14061,170969,35191,35191,274552,266494,188288,144415,161425,154678,166244,50607,120948,36087,160924,185215,51867,34123,34123,85526,112179,45885,134794,101953,72846,35826,35826,35826,216331,120387,199141,199141,106315,139872,135761,69801,121539,75095,144027,108319,300281,209113,215990,131527,22071,27641,26895,34813,131193,131193,131193,84612,3343,14173,14173,56616,151056,55575,151056,142093,184914,137259,108312,148704,216239,166153,142093,154185,108240,127722,144692,NET_ERR,96393,76895,155950,127112,19579,205956,139273,95123,73296,98393,48297,45723,54802,54865,201321,46732,137634,195508,204551,172362,112751,56257,111673,119670,39151,52511,130421,62803,64439,275020,277464,275696,276620,121432,115549,188257,188257,188257,188257,188257,5837,189227,217051,255219,268242,206868,190314,189354,215919,232338,228901,216869,189628,185072,173842,223408,52869,139044,149517,142776,235929,165798,151903,278118,253410,25018,76254,165827,12494,10160,11509,11633,11303,175557,276807,89510,211462,110900,254104,240057,265690,23315,164762,218106,91198,22722,140322,208081,43269,44671,134955,164296,124249,210741,228400,163597,116894,160112,102407,156950,136983,132981,143215,172752,134609,57291,142352,163005,143215,145812,145696,145889,162885,156618,96433,97398,177582,28008,184417,22649
121439,111852,86411,149638,116593,49989,192391,280240,47785,211487,119176,106873,81622,154101,120539,88406,55850,25303,150572,215858,15226,45882,222719,138624,170221,138589,134329,138876,38322,31721,109838,136608,115224,51862,195479,117819,157712,141605,161500,198290,52524,291372,156521,50726,44632,257814,12798,110485,110485,110485,44791,168236,168236,80352,170678,243450,61710,130864,132270,210149,66806,200008,214223,154522,239338,154471,275509,53772,59757,53922,30052,46346,17411,57872,50702,47860,50080,55800,198634,142737,44202,152256,79169,79494,137682,137939,152769,180856,180856,180856,108604,155557,113575,130317,149547,182192,39368,176788,169464,215280,150272,123429,213618,196204,200909,147650,117692,117692,177182,128522,94676,116288,171821,171450,241974,115257,186681,160454,30620,157930,193444,160833,160891,181095,182512,136710,163522,29223,139737,183804,14668,70563,146925,290652,51934,182856,127432,91275,239998,105131,217333,151754,154190,34945,51840,41698,15386,179018,50840,50840,282601,274543,196337,152464,169474,162727,174293,58656,128997,11648,168973,193264,59916,42172,42172,93575,120228,61535,142843,110002,80895,10079,10079,10079,224380,128436,207190,207190,114364,147920,143810,77850,129588,83144,152076,116368,308329,217162,224039,139576,11284,43420,41185,50462,139242,139242,139242,92661,15844,3678,3678,72266,159105,63624,159105,150142,192963,145308,116361,156753,224288,174202,150142,162234,116289,135771,152741,197862,104442,84944,163999,135161,28137,214005,147322,103172,74774,106442,23163,21284,62851,62913,209370,54781,145683,203557,212600,180411,120800,67096,119722,127719,48034,60560,138470,70852,72488,283069,285513,283745,284669,129481,123598,196306,196306,196306,196306,196306,13195,197276,225100,263268,276291,214917,198363,197403,223968,240387,236949,224918,197677,193121,181891,231457,60918,147093,157566,150825,243978,173847,159952,286167,261459,33471,84303,173876,28143,11484,9199,9075,8947,183606,284856,97559,219511,118948,262153,248106,273739,37577,172811,226155,99247,31280,148371,216130,51318,52720,143004,172345,132298,218790,236449,171645,124943,168161,110456,164999,145032,141030,151263,180801,142658,68086,150401,171054,151263,153861,153745,153938,170934,164667,104482,105447,185631,36057,192466,30698
143153,117675,92234,155461,138307,71703,214105,301954,69499,233201,140890,128587,103336,159925,142253,94229,77564,15285,172286,237572,37932,67596,244432,160338,191935,160303,156043,160590,60036,53435,131552,158322,136938,58339,217193,135167,179426,158953,167324,220004,68020,313086,178235,72440,66346,279528,35503,127833,127833,127833,66505,189950,189950,102066,192392,265164,68187,152578,153984,231863,88520,221722,235937,166523,261052,176185,297223,40466,46450,40616,16746,33040,24159,64350,72416,69574,71794,77514,220348,148561,50679,164257,100883,101208,159395,143762,164770,202570,202570,202570,130318,161380,135289,139887,155370,203906,61082,198502,191178,236994,171986,140777,235332,217918,222623,169364,130645,130645,198896,134346,116390,138002,193535,193164,263688,132605,208395,182168,37097,179644,215158,182547,182605,202809,204226,154058,169345,17850,161451,205517,37374,92277,168639,312366,73648,204570,133255,108623,261711,126845,239047,173468,175904,56659,73554,48175,38091,200732,72554,72554,304315,296257,218051,164465,191188,184441,196007,80370,150711,9182,190687,214978,81630,63886,63886,115289,126052,83249,164557,127350,98243,21445,21445,21445,246094,145784,228904,228904,131712,169634,165524,99564,146936,104858,157900,138082,330043,238876,245753,161290,27923,49897,47662,72176,160956,160956,160956,114375,43125,26383,26383,93979,180819,85338,180819,171856,214677,167022,138075,178466,246002,195916,171856,183948,138003,157485,164742,219576,126156,106658,185713,156875,45533,235719,169036,120520,81251,128156,12538,33505,84565,84627,231084,76495,163031,225271,234314,202125,142514,88810,141436,149432,54511,71456,160184,92566,92555,304783,307227,305459,306383,151195,140946,218020,218020,218020,218020,218020,36578,218990,246814,284982,298005,236631,220077,219117,245682,262101,258663,246632,219391,214835,203605,253171,71814,168807,179280,172539,265692,195561,181666,307880,283173,39948,106017,195590,49857,34190,31904,31780,31653,205320,306570,119273,241225,124772,283866,269820,295453,59291,194525,247869,120961,53807,160372,237844,73032,74434,164718,194059,154012,240504,258162,193359,130766,189874,127804,170822,166746,162744,172977,202515,164372,89800,172115,192768,172977,175575,175459,175652,192648,186381,126196,127161,207345,57771,214180,52412
